filename,T,H,muX,muC,epsilon_X,epsilon_C,sigma_X,sigma_C,dx,vacuum,initial_guess
0167,200,30,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0168,200,30,-1200,-750,1000,1000,1.0,1.0,0.02,10,0.01
0169,200,30,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0170,200,30,-850,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0171,200,30,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0172,200,30,-850,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0173,200,30,-850,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0174,200,30,-850,-750,1000,1000,1.0,1.0,0.02,10,0.01
0175,200,30,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0176,200,30,-500,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0177,200,30,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0178,200,30,-500,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0179,200,30,-500,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0180,200,30,-500,-750,1000,1000,1.0,1.0,0.02,10,0.01
0181,200,35,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
  0182,200,35,-2250,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0183,200,35,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0184,200,35,-2250,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0185,200,35,-2250,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0186,200,35,-2250,-750,1000,1000,1.0,1.0,0.02,10,0.01
0187,200,35,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0188,200,35,-1900,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0189,200,35,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0190,200,35,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0191,200,35,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0192,200,35,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0193,200,35,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0194,200,35,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0195,200,35,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0196,200,35,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0197,200,35,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0198,200,35,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0199,200,35,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0200,200,35,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0201,200,35,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0202,200,35,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0203,200,35,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0204,200,35,-1200,-750,1000,1000,1.0,1.0,0.02,10,0.01
0205,200,35,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0206,200,35,-850,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0207,200,35,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0208,200,35,-850,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0209,200,35,-850,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0210,200,35,-850,-750,1000,1000,1.0,1.0,0.02,10,0.01
0211,200,35,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0212,200,35,-500,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0213,200,35,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0214,200,35,-500,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0215,200,35,-500,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0216,200,35,-500,-750,1000,1000,1.0,1.0,0.02,10,0.01
0217,200,50,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0218,200,50,-2250,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0219,200,50,-2250,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0220,200,50,-2250,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0221,200,50,-2250,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0222,200,50,-2250,-750,1000,1000,1.0,1.0,0.02,10,0.01
0223,200,50,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0224,200,50,-1900,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0225,200,50,-1900,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0226,200,50,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0227,200,50,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0228,200,50,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0229,200,50,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0230,200,50,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0231,200,50,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0232,200,50,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0233,200,50,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0234,200,50,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0235,200,50,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0236,200,50,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0237,200,50,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0238,200,50,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0239,200,50,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0240,200,50,-1200,-750,1000,1000,1.0,1.0,0.02,10,0.01
0241,200,50,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0242,200,50,-850,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0243,200,50,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0244,200,50,-850,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0245,200,50,-850,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0246,200,50,-850,-750,1000,1000,1.0,1.0,0.02,10,0.01
0247,200,50,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
